name,x1-raw,x2-raw,y,length,x
object-157,320,393,15,73.0,356.5
object-158,332,372,10,40.0,352.0
object-1,165,219,410,54.0,192.0
object-2,124,228,405,104.0,176.0
object-3,217,234,400,17.0,225.5
object-4,115,167,400,52.0,141.0
object-5,226,241,395,15.0,233.5
object-6,108,126,395,18.0,117.0
object-7,232,247,390,15.0,239.5
object-8,100,117,390,17.0,108.5
object-9,239,256,385,17.0,247.5
object-10,90,110,385,20.0,100.0
object-11,245,261,380,16.0,253.0
object-12,81,102,380,21.0,91.5
object-13,254,270,375,16.0,262.0
object-14,73,92,375,19.0,82.5
object-15,259,275,370,16.0,267.0
object-16,64,83,370,19.0,73.5
object-17,268,280,365,12.0,274.0
object-18,56,75,365,19.0,65.5
object-19,273,285,360,12.0,279.0
object-20,46,66,360,20.0,56.0
object-21,278,289,355,11.0,283.5
object-22,41,58,355,17.0,49.5
object-23,281,293,350,12.0,287.0
object-24,36,49,350,13.0,42.5
object-25,286,298,345,12.0,292.0
object-26,33,45,345,12.0,39.0
object-27,290,302,340,12.0,296.0
object-28,28,40,340,12.0,34.0
object-29,294,306,335,12.0,300.0
object-30,25,36,335,11.0,30.5
object-31,298,310,330,12.0,304.0
object-32,20,32,330,12.0,26.0
object-33,303,314,325,11.0,308.5
object-34,18,28,325,10.0,23.0
object-35,307,318,320,11.0,312.5
object-36,15,26,320,11.0,20.5
object-37,310,321,315,11.0,315.5
object-38,14,23,315,9.0,18.5
object-39,313,323,310,10.0,318.0
object-40,12,21,310,9.0,16.5
object-41,315,326,305,11.0,320.5
object-42,10,19,305,9.0,14.5
object-43,319,331,300,12.0,325.0
object-44,10,19,300,9.0,14.5
object-45,322,332,295,10.0,327.0
object-46,10,19,295,9.0,14.5
object-47,324,333,290,9.0,328.5
object-48,10,19,290,9.0,14.5
object-49,324,333,285,9.0,328.5
object-50,10,19,285,9.0,14.5
object-51,324,333,280,9.0,328.5
object-52,10,19,280,9.0,14.5
object-53,324,333,275,9.0,328.5
object-54,10,19,275,9.0,14.5
object-55,324,333,270,9.0,328.5
object-56,10,21,270,11.0,15.5
object-57,324,333,265,9.0,328.5
object-58,12,21,265,9.0,16.5
object-59,323,333,260,10.0,328.0
object-60,12,23,260,11.0,17.5
object-61,323,332,255,9.0,327.5
object-62,14,24,255,10.0,19.0
object-63,322,331,250,9.0,326.5
object-64,16,25,250,9.0,20.5
object-65,322,331,245,9.0,326.5
object-66,17,27,245,10.0,22.0
object-67,322,331,240,9.0,326.5
object-68,19,31,240,12.0,25.0
object-69,322,331,235,9.0,326.5
object-70,22,32,235,10.0,27.0
object-71,321,330,230,9.0,325.5
object-72,25,35,230,10.0,30.0
object-73,320,329,225,9.0,324.5
object-74,28,38,225,10.0,33.0
object-75,320,329,220,9.0,324.5
object-76,30,41,220,11.0,35.5
object-77,320,329,215,9.0,324.5
object-78,32,43,215,11.0,37.5
object-79,319,328,210,9.0,323.5
object-80,35,45,210,10.0,40.0
object-81,318,327,205,9.0,322.5
object-82,38,49,205,11.0,43.5
object-83,317,326,200,9.0,321.5
object-84,40,51,200,11.0,45.5
object-85,315,325,195,10.0,320.0
object-86,42,53,195,11.0,47.5
object-87,312,323,190,11.0,317.5
object-88,44,55,190,11.0,49.5
object-89,310,320,185,10.0,315.0
object-90,48,59,185,11.0,53.5
object-91,308,319,180,11.0,313.5
object-92,51,61,180,10.0,56.0
object-93,306,316,175,10.0,311.0
object-94,54,65,175,11.0,59.5
object-95,305,315,170,10.0,310.0
object-96,57,69,170,12.0,63.0
object-97,304,313,165,9.0,308.5
object-98,61,72,165,11.0,66.5
object-99,304,313,160,9.0,308.5
object-100,64,73,160,9.0,68.5
object-101,304,313,155,9.0,308.5
object-102,64,75,155,11.0,69.5
object-103,304,314,150,10.0,309.0
object-104,67,79,150,12.0,73.0
object-105,306,316,145,10.0,311.0
object-106,71,82,145,11.0,76.5
object-107,309,322,140,13.0,315.5
object-108,75,87,140,12.0,81.0
object-109,314,328,135,14.0,321.0
object-110,79,90,135,11.0,84.5
object-111,320,335,130,15.0,327.5
object-112,83,97,130,14.0,90.0
object-113,326,345,125,19.0,335.5
object-114,88,102,125,14.0,95.0
object-115,333,352,120,19.0,342.5
object-116,95,112,120,17.0,103.5
object-117,343,363,115,20.0,353.0
object-118,100,143,115,43.0,121.5
object-119,350,378,110,28.0,364.0
object-120,110,197,110,87.0,153.5
object-121,361,393,105,32.0,377.0
object-122,141,238,105,97.0,189.5
object-123,376,404,100,28.0,390.0
object-124,195,256,100,61.0,225.5
object-125,391,411,95,20.0,401.0
object-126,236,262,95,26.0,249.0
object-127,402,422,90,20.0,412.0
object-128,254,268,90,14.0,261.0
object-129,409,428,85,19.0,418.5
object-130,260,275,85,15.0,267.5
object-131,420,433,80,13.0,426.5
object-132,266,281,80,15.0,273.5
object-133,425,437,75,12.0,431.0
object-134,273,284,75,11.0,278.5
object-135,428,438,70,10.0,433.0
object-136,277,289,70,12.0,283.0
object-137,430,440,65,10.0,435.0
object-138,281,292,65,11.0,286.5
object-139,432,441,60,9.0,436.5
object-140,285,296,60,11.0,290.5
object-141,429,440,55,11.0,434.5
object-142,288,299,55,11.0,293.5
object-143,425,436,50,11.0,430.5
object-144,291,303,50,12.0,297.0
object-145,421,432,45,11.0,426.5
object-146,296,307,45,11.0,301.5
object-147,416,428,40,12.0,422.0
object-148,299,311,40,12.0,305.0
object-149,411,423,35,12.0,417.0
object-150,303,314,35,11.0,308.5
object-151,405,418,30,13.0,411.5
object-152,307,318,30,11.0,312.5
object-153,391,413,25,22.0,402.0
object-154,310,322,25,12.0,316.0
object-155,370,407,20,37.0,388.5
object-156,315,334,20,19.0,324.5
object-157,320,393,15,73.0,356.5
object-158,332,372,10,40.0,352.0
